-46.43    52.20   ILE_DE_L'EST                  France             Stratovolcano       Holocene?
-49.58    69.50   KERGUELEN_ISLANDS             France             Stratovolcanoes     Holocene?
-46.63    37.95   PRINCE_EDWARD_ISLAND          South_Africa       Shield_volcano      Holocene
-46.90    37.75   MARION_ISLAND                 South_Africa       Shield_volcanoes    Historical
11.75     80.75   UNNAMED                       India              Submarine_volcano_? Uncertain
-35.30   173.90   KAIKOHE-BAY_OF_ISLANDS        New_Zealand        Volcanic_field      Radiocarbon
-35.75   174.27   WHANGAREI                     New_Zealand        Cinder_cones        Holocene?
-36.90   174.87   AUCKLAND_FIELD                New_Zealand        Volcanic_field      Radiocarbon
-37.28   176.25   MAYOR_ISLAND                  New_Zealand        Shield_volcano      Radiocarbon
-39.30   174.07   TARANAKI_[EGMONT]             New_Zealand        Stratovolcano       Radiocarbon
-37.52   177.18   WHITE_ISLAND                  New_Zealand        Stratovolcanoes     Historical
-37.858  176.98   WHALE_ISLAND                  New_Zealand        Complex_volcano     Pleistocene-Fumarolic
-38.08   176.27   ROTORUA                       New_Zealand        Caldera             Pleistocene-Geysers
-38.12   176.50   OKATAINA                      New_Zealand        Lava_domes          Historical
-38.42   176.33   REPOROA                       New_Zealand        Caldera             Tephrochronology
-38.42   176.08   MAROA                         New_Zealand        Calderas            Tephrochronology
-38.82   176.00   TAUPO                         New_Zealand        Caldera             Radiocarbon
-39.13   175.642  TONGARIRO                     New_Zealand        Stratovolcanoes     Historical
-39.28   175.57   RUAPEHU                       New_Zealand        Stratovolcano       Historical
-36.466  177.839  CLARK                         New_Zealand        Submarine_volcano   Fumarolic
-36.321  178.028  TANGAROA                      New_Zealand        Submarine_volcano   Fumarolic
-35.50   178.875  RUMBLE_I                      New_Zealand        Submarine_volcano   Uncertain
-35.43   178.65   RUMBLE_II                     New_Zealand        Submarine_volcano   Uncertain
-35.353  178.527  RUMBLE_II_WEST                New_Zealand        Submarine_volcano   Fumarolic
-35.745  178.478  RUMBLE_III                    New_Zealand        Submarine_volcano   Historical
-36.22   178.05   RUMBLE_IV                     New_Zealand        Submarine_volcano   Fumarolic
-36.139  178.197  RUMBLE_V                      New_Zealand        Submarine_volcano   Fumarolic
-35.004  178.973  HEALY                         New_Zealand        Submarine_volcano   Radiocarbon
-34.875  179.075  BROTHERS                      New_Zealand        Submarine_volcano   Fumarolic
-30.542  -178.561 CURTIS_ISLAND                 Kermadec_Is          Submarine_volcano   Uncertain
-30.542  -178.561 VOLCANO_W                     Kermadec_Is          Submarine_volcanoes Fumarolic
-30.20   -178.47  MACAULEY_ISLAND               Kermadec_Is          Caldera             Radiocarbon
-30.036  -178.712 GIGGENBACH                    Kermadec_Is          Submarine_volcano   Fumarolic
-29.27   -177.92  RAOUL_ISLAND                  Kermadec_Is          Stratovolcano       Historical
-25.888  -177.188 MONOWAI_SEAMOUNT              Kermadec_Is          Submarine_volcano   Historical
-24.80   -177.02  UNNAMED                       Tonga-SW_Pacific     Submarine_volcano   Historical
-21.38   -175.65  UNNAMED                       Tonga-SW_Pacific     Submarine_volcano   Historical
-21.15   -175.75  UNNAMED                       Tonga-SW_Pacific     Submarine_volcano   Historical
-20.85   -175.53  UNNAMED                       Tonga-SW_Pacific     Submarine_volcano   Historical
-20.57   -175.38  HUNGA_TONGA-HUNGA_HA'APAI     Tonga-SW_Pacific     Submarine_volcano   Historical
-20.32   -175.42  FALCON_ISLAND                 Tonga-SW_Pacific     Submarine_volcano   Historical
-19.75   -175.07  TOFUA                         Tonga-SW_Pacific     Caldera             Historical
-19.18   -174.87  METIS_SHOAL                   Tonga-SW_Pacific     Submarine_volcano   Historical
-18.992  -174.775 HOME_REEF                     Tonga-SW_Pacific     Submarine_volcano   Historical
-18.806  -174.65  LATE                          Tonga-SW_Pacific     Stratovolcano       Historical
-8.325   -174.365 UNNAMED                       Tonga-SW_Pacific     Submarine_volcano   Historical
-18.02   -174.325 FONUALEI                      Tonga-SW_Pacific     Stratovolcano       Historical
-15.62   -173.67  CURACOA                       Tonga-SW_Pacific     Submarine_volcano   Historical
-15.60   -175.63  NIUAFO'OU                     Tonga-SW_Pacific     Shield_volcano      Historical
-15.37   -174.23  TAFU-MAKA                     Tonga-SW_Pacific     Submarine_volcano   Historical
-15.37   -174.23  WEST_MATA                     Tonga-SW_Pacific     Submarine_volcano   Historical
-14.215  -169.058 VAILULU'U                     Samoa-SW_Pacific     Submarine_volcano   Historical
-14.23   -169.454 TA'U                          Samoa-SW_Pacific     Shield_volcano      Holocene
-14.175  -169.618 OFU-OLOSEGA                   Samoa-SW_Pacific     Shield_volcanoes    Historical
-14.295  -170.70  TUTUILA                       Samoa-SW_Pacific     Tuff_cones          Holocene
-13.935  -171.72  UPOLU                         Samoa-SW_Pacific     Shield_volcano      Holocene
-13.612  -172.525 SAVAI'I                       Samoa-SW_Pacific     Shield_volcano      Historical
-13.30   -176.17  WALLIS_ISLANDS                SW_Pacific           Shield_volcanoes    Holocene
-16.82   -179.97  TAVEUNI                       Fiji_Is-SW_Pacific   Shield_volcano      Radiocarbon
-17.32   179.40   KORO                          Fiji_Is-SW_Pacific   Cinder_cones        Holocene?
-19.12   177.98   NABUKELEVU                    Fiji_Is-SW_Pacific   Lava_domes          Radiocarbon
 -2.38   147.35   ST._ANDREW_STRAIT             Admiralty_Is-SW_Pac  Complex_volcano     Historical
 -2.57   147.28   BALUAN                        Admiralty_Is-SW_Pac  Stratovolcano       Holocene?
 -3.03   147.78   UNNAMED                       Admiralty_Is-SW_Pac  Submarine_volcano   Hydrophonic
 -3.508  144.62   BLUP_BLUP                     New_Guinea-NE_of     Stratovolcano       Holocene
 -3.62   144.62   KADOVAR                       New_Guinea-NE_of     Stratovolcano       Holocene
 -3.60   144.85   BAM                           New_Guinea-NE_of     Stratovolcano       Historical
 -3.994  144.963  BOISA                         New_Guinea-NE_of     Stratovolcano       Holocene?
 -4.10   145.061  MANAM                         New_Guinea-NE_of     Stratovolcano       Historical
 -4.649  145.964  KARKAR                        New_Guinea-NE_of     Stratovolcano       Historical
 -4.311  146.256  UNNAMED                       New_Guinea-NE_of     Submarine_volcano_? Uncertain
 -4.92   146.75   YOMBA                         New_Guinea-NE_of     Unknown             Uncertain
 -5.358  147.12   LONG_ISLAND                   New_Guinea-NE_of     Complex_volcano     Historical
 -5.589  147.875  UMBOI                         New_Guinea-NE_of     Complex_volcano     Holocene
 -5.52   148.121  RITTER_ISLAND                 New_Guinea-NE_of     Stratovolcano       Historical
 -5.414  148.094  SAKAR                         New_Guinea-NE_of     Stratovolcano       Holocene?
 -5.20   148.57   UNNAMED                       New_Britain-SW_Pac   Submarine_volcano_? Uncertain
 -5.525  148.42   LANGILA                       New_Britain-SW_Pac   Complex_volcano     Historical
 -4.55   149.125  NARAGE                        New_Britain-SW_Pac   Stratovolcano       Pleistocene-Geysers
 -4.63   149.35   MUNDUA                        New_Britain-SW_Pac   Complex_volcano     Holocene?
 -4.692  149.50   GAROVE                        New_Britain-SW_Pac   Stratovolcano       Holocene
 -5.056  150.108  DAKATAUA                      New_Britain-SW_Pac   Caldera             Anthropology
 -5.15   150.03   BOLA                          New_Britain-SW_Pac   Stratovolcano       Holocene
 -5.269  150.088  GARUA_HARBOUR                 New_Britain-SW_Pac   Volcanic_field      Holocene?
 -5.45   150.03   GARBUNA_GROUP                 New_Britain-SW_Pac   Stratovolcanoes     Holocene
 -5.47   150.50   LOLO                          New_Britain-SW_Pac   Stratovolcano       Holocene?
 -5.58   150.52   PAGO                          New_Britain-SW_Pac   Caldera             Historical
 -5.53   150.90   WALO                          New_Britain-SW_Pac   Hydrothermal_field  Hot_Springs
